shana,hodesh,train_station_nm,station_status_nm,status_count
2019,1,אופקים,איחור,66
2019,1,אופקים,בזמן,1077
2019,1,אופקים,הקדמה ביציאה,8
2019,1,אחיהוד,איחור,85
2019,1,אחיהוד,בזמן,875
2019,1,אחיהוד,הקדמה ביציאה,121
2019,1,אשדוד עד הלום,איחור,209
2019,1,אשדוד עד הלום,בזמן,1649
2019,1,אשדוד עד הלום,הקדמה ביציאה,18
2019,1,אשקלון,איחור,234
2019,1,אשקלון,בזמן,1860
2019,1,אשקלון,הקדמה ביציאה,10
2019,1,באר יעקב,איחור,75
2019,1,באר יעקב,בזמן,942
2019,1,באר יעקב,הקדמה ביציאה,2
2019,1,באר שבע מרכז,איחור,162
2019,1,באר שבע מרכז,בזמן,1815
2019,1,באר שבע מרכז,הקדמה ביציאה,1
2019,1,באר שבע צפון,איחור,163
2019,1,באר שבע צפון,בזמן,2113
2019,1,באר שבע צפון,הקדמה ביציאה,18
2019,1,בית יהושע,איחור,161
2019,1,בית יהושע,בזמן,1275
2019,1,בית יהושע,הקדמה ביציאה,2
2019,1,בית שאן,איחור,27
2019,1,בית שאן,בזמן,471
2019,1,בית שמש,איחור,48
2019,1,בית שמש,בזמן,810
2019,1,בית שמש,הקדמה ביציאה,4
2019,1,בני ברק,איחור,129
2019,1,בני ברק,בזמן,1339
2019,1,בני ברק,הקדמה ביציאה,7
2019,1,בנימינה,איחור,265
2019,1,בנימינה,בזמן,2134
2019,1,בנימינה,הקדמה ביציאה,2
2019,1,בת גלים,איחור,197
2019,1,בת גלים,בזמן,2915
2019,1,בת גלים,הקדמה ביציאה,66
2019,1,בת ים יוספטל,איחור,160
2019,1,בת ים יוספטל,בזמן,1055
2019,1,בת ים יוספטל,הקדמה ביציאה,61
2019,1,בת ים קוממיות,איחור,195
2019,1,בת ים קוממיות,בזמן,1124
2019,1,בת ים קוממיות,הקדמה ביציאה,14
2019,1,דימונה,איחור,13
2019,1,דימונה,בזמן,72
2019,1,הוד השרון,איחור,105
2019,1,הוד השרון,בזמן,1639
2019,1,הוד השרון,הקדמה ביציאה,4
2019,1,הרצליה,איחור,188
2019,1,הרצליה,בזמן,1948
2019,1,הרצליה,הקדמה ביציאה,2
2019,1,השלום,איחור,438
2019,1,השלום,בזמן,3592
2019,1,השלום,הקדמה ביציאה,7
2019,1,חדרה מערב,איחור,208
2019,1,חדרה מערב,בזמן,1350
2019,1,חדרה מערב,הקדמה ביציאה,1
2019,1,חולון וולפסון,איחור,102
2019,1,חולון וולפסון,בזמן,1025
2019,1,חולון וולפסון,הקדמה ביציאה,120
2019,1,חוף הכרמל,איחור,229
2019,1,חוף הכרמל,בזמן,2876
2019,1,חוף הכרמל,הקדמה ביציאה,15
2019,1,חוצות מפרץ,איחור,110
2019,1,חוצות מפרץ,בזמן,2089
2019,1,חוצות מפרץ,הקדמה ביציאה,35
2019,1,חיפה מרכז,איחור,297
2019,1,חיפה מרכז,בזמן,2573
2019,1,חיפה מרכז,הקדמה ביציאה,10
2019,1,יבנה מזרח,איחור,61
2019,1,יבנה מזרח,בזמן,405
2019,1,יבנה מזרח,הקדמה ביציאה,174
2019,1,יבנה מערב,איחור,144
2019,1,יבנה מערב,בזמן,1024
2019,1,יבנה מערב,הקדמה ביציאה,17
2019,1,ירושלים/יצחק נבון,איחור,8
2019,1,ירושלים/יצחק נבון,בזמן,1009
2019,1,כפר ברוך,איחור,42
2019,1,כפר ברוך,בזמן,553
2019,1,כפר ברוך,הקדמה ביציאה,1
2019,1,כפר חבד,איחור,79
2019,1,כפר חבד,בזמן,481
2019,1,כפר יהושע,איחור,63
2019,1,כפר יהושע,בזמן,419
2019,1,כפר יהושע,הקדמה ביציאה,31
2019,1,כפר סבא,איחור,149
2019,1,כפר סבא,בזמן,1435
2019,1,כפר סבא,הקדמה ביציאה,41
2019,1,כרמיאל,איחור,53
2019,1,כרמיאל,בזמן,960
2019,1,להבים רהט,איחור,37
2019,1,להבים רהט,בזמן,749
2019,1,להבים רהט,הקדמה ביציאה,5
2019,1,לוד,איחור,300
2019,1,לוד,בזמן,3068
2019,1,לוד,הקדמה ביציאה,18
2019,1,לוד גני אביב,איחור,61
2019,1,לוד גני אביב,בזמן,482
2019,1,לוד גני אביב,הקדמה ביציאה,32
2019,1,מודיעין מרכז,איחור,53
2019,1,מודיעין מרכז,בזמן,1071
2019,1,מרכזית המפרץ,איחור,28
2019,1,מרכזית המפרץ,בזמן,488
2019,1,מרכזית המפרץ,הקדמה ביציאה,13
2019,1,מרכזית המפרץ/קו החוף,איחור,182
2019,1,מרכזית המפרץ/קו החוף,בזמן,2388
2019,1,מרכזית המפרץ/קו החוף,הקדמה ביציאה,9
2019,1,נהריה,איחור,78
2019,1,נהריה,בזמן,1514
2019,1,"נתבג""",איחור,164
